"bol","sc","cat"
"བཀའ་འགྱུར་ལས་གསུངས་པའི་རང་བྱུང་ཚན་རིག་གི་ཆ་ཤས་ལུས་ཁམས་ཉི་མའི་གཉེན་པོ་མདོ་ཙམ་བསྟན་པ།","6","http://purl.bdrc.io/ontology/core/Work"
"འཇམ་དབྱངས་བཞད་པའི་རྡོ་རྗེའི་གསན་ཡིག་ལས་བཀའ་འགྱུར་གྱི་མདོ་ཕྱོགས་གསན་ཚུལ་ཚན་པ་གཉིས་པ།","9","http://purl.bdrc.io/ontology/core/Work"
"བཞད་སྐྱིད་སྦུག་པ་འཚོ་བྱེད་དགེ་བསྙེན་རྟ་མགྲིན་ལྟོས་བཅས་ཀྱིས་བཀའ་འགྱུར་པར་དུ་བསྒྲུབ་པའི་པ་དགེ་བསྔོ་།","6","http://purl.bdrc.io/ontology/core/Work"
"རྗེ་བཀའ་འགྱུར་བླ་མ་སོགས་དམ་པ་ལྔའི་རྣམ་ཐར་རགས་བསྡུས་ངོ་མཚར་དད་པའི་ས་བོན་ཞེས་བྱ་བ།","6","http://purl.bdrc.io/ontology/core/Work"
"ཨོཾ་འཕགས་པ་གུ་རུ་པདྨ་འབྱུང་གནས་གཏེར་བཀའ༔་རིན་པོ་ཆེ་གཟུངས་བསྡུས་བཀའ་འགྱུར་དང་བསྟན་འགྱུར་བཤད་པ་ལེའུ།","6","http://purl.bdrc.io/ontology/core/Work"
"ཤེལ་དཀར་བཀའ་འགྱུར་བླ་མ་ངག་དབང་བློ་བཟང་བསྟན་འཛིན་ཚུལ་ཁྲིམས་རྒྱལ་མཚན་གྱི་རྣམ་ཐར་གྱི་ཁ་སྐོང་།","6","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་གྱི་ནང་དུ་བཞུགས་པའི་འཕགས་པ་གསལ་ཞིང་ཡངས་པའི་སྣང་བརྒྱད་ཅེས་དང་འཕགས་པ་བཀྲ་ཤིས་བརྩེགས་པ་རྣམས་སོགས།","6","http://purl.bdrc.io/ontology/core/Work"
"བཀའ་འགྱུར་རིན་པོ་ཆེའི་གསུང་པར་སྲིད་གསུམ་རྒྱན་གཅིག་རྫུ་འཕྲུལ་ཤིང་རྟའི་དཀར་ཆག་ངོ་མཚར་བཀོད་པ་རྒྱ་མཚོའི་ལྡེ་མིག","6","http://purl.bdrc.io/ontology/core/Work"
"གཟུངས་སྔགས་དང་༑་དེ་བཞིན་གཤེགས་པའི་མཚན་བཀའ་འགྱུར་སྙིང་པོ་སོགས་ཁ་དོན་བྱེད་རྒྱུ་ཟབ་མོའི་རིགས་ཕྱོགས་གཅིག་ཏུ་བཀོད་པ་དོན་གཉིས་ལྷུན་གྲུབ།","6","http://purl.bdrc.io/ontology/core/Work"
"གུ་རུ་པདྨ་འབྱུང་གནས་གཏེར་ག་རིན་པོ་ཆེ་གཟུངས་པ་བསྡུས་པ་བཀའ་འགྱུར་དང་བསྟན་འགྱུར་བཤད་པ་ལེའུ་ཞེས་བྱ་བ་གཟུངས་སོགས།","6","http://purl.bdrc.io/ontology/core/Work"
